Rank,Release Group,Worldwide,Domestic,%,Foreign,%
165,Dynasty Warriors,"$829,947",-,-,"$829,947",100%
166,The Truffle Hunters,"$828,735","$370,396",44.7%,"$458,339",55.3%
167,Lamb of God: The Concert Film,"$744,513","$744,513",100%,-,-
168,Forgotten We'll Be,"$733,575",-,-,"$733,575",100%
169,Jathi Ratnalu,"$731,273","$470,000",64.3%,"$261,273",35.7%
170,Pipeline,"$698,319",-,-,"$698,319",100%
171,Trang Ti Phieu Luu Ky,"$665,224",-,-,"$665,224",100%
172,Our Friend,"$663,725","$663,725",100%,-,-
173,Golata istina za grupa Zhiguli,"$659,846",-,-,"$659,846",100%
174,Ready o/r Knot,"$657,371",-,-,"$657,371",100%
175,Music,"$645,949",-,-,"$645,949",100%
176,Tazza: One-Eyed Jack 2021 Re-release,"$645,401",-,-,"$645,401",100%
177,The Last Journey of Paul W. R.,"$627,761",-,-,"$627,761",100%
178,Chungking Express 2020 Re-release,"$599,017",-,-,"$599,017",100%
179,Three Sisters 2021 Re-release,"$594,075",-,-,"$594,075",100%
180,Kongsuni The Movie: Toy World Adventure,"$585,368",-,-,"$585,368",100%
181,Riders of Justice,"$525,990","$67,744",12.9%,"$458,246",87.1%
182,Girls Can't Surf,"$520,499",-,-,"$520,499",100%
183,Dark Spell,"$515,596",-,-,"$515,596",100%
184,Great White,"$511,687",-,-,"$511,687",100%
185,Twist,"$510,331",-,-,"$510,331",100%
186,The Bad Poet,"$487,997",-,-,"$487,997",100%
187,Top Gun 2021 Re-release,"$471,982","$457,577",96.9%,"$14,405",3.1%
188,Los Trapos Sucios Se Lavan En Casa,"$466,448",-,-,"$466,448",100%
189,Minamata,"$462,505",-,-,"$462,505",100%
190,Slalom,"$461,812","$2,788",0.6%,"$459,024",99.4%
191,Kalathil Sandhippom,"$453,001",-,-,"$453,001",100%
192,World War Z 2021 Re-release,"$448,000","$448,000",100%,-,-
193,My Salinger Year,"$444,063","$54,730",12.3%,"$389,333",87.7%
194,2021 Oscar Nominated Short Films: Live Action,"$443,050","$443,050",100%,-,-
195,Willy's Wonderland,"$431,020","$418,286",97%,"$12,734",3%
196,Under the Stars of Paris,"$427,964",-,-,"$427,964",100%
197,Earwig and the Witch,"$427,531","$173,704",40.6%,"$253,827",59.4%
198,The United States vs. Billie Holiday,"$426,050",-,-,"$426,050",100%
199,My Best Part,"$422,643",-,-,"$422,643",100%
200,The Cinderella Addiction,"$421,202",-,-,"$421,202",100%
